12
11
 0, 23, 8, 2, 23, 12, 19, 17, 7, 9, 1
 23, 0, 10, 24, 19, 2, 10, 10, 26, 21, 24
 8, 10, 0, 8, 0, 27, 22, 3, 2, 7, 7
 2, 24, 8, 0, 5, 23, 3, 9, 7, 2, 11
 23, 19, 0, 5, 0, 7, 19, 18, 20, 13, 23
 12, 2, 27, 23, 7, 0, 9, 26, 3, 6, 28
 19, 10, 22, 3, 19, 9, 0, 25, 19, 5, 4
 17, 10, 3, 9, 18, 26, 25, 0, 19, 5, 28
 7, 26, 2, 7, 20, 3, 19, 19, 0, 8, 20
 9, 21, 7, 2, 13, 6, 5, 5, 8, 0, 24
 1, 24, 7, 11, 23, 28, 4, 28, 20, 24, 0
18
 0, 0, 13, 16, 11, 18, 13, 29, 15, 12, 8, 15, 25, 15, 16, 20, 13, 15
 0, 0, 22, 9, 13, 13, 15, 15, 14, 26, 17, 15, 18, 22, 2, 18, 27, 14
 13, 22, 0, 14, 27, 28, 4, 4, 21, 16, 8, 8, 23, 21, 28, 4, 25, 22
 16, 9, 14, 0, 18, 1, 23, 9, 18, 27, 7, 22, 10, 11, 15, 0, 7, 11
 11, 13, 27, 18, 0, 25, 6, 1, 18, 8, 27, 19, 16, 20, 9, 14, 2, 9
 18, 13, 28, 1, 25, 0, 5, 17, 23, 24, 24, 8, 12, 21, 24, 16, 9, 12
 13, 15, 4, 23, 6, 5, 0, 5, 5, 21, 24, 2, 22, 8, 23, 4, 17, 24
 29, 15, 4, 9, 1, 17, 5, 0, 22, 27, 29, 0, 25, 27, 19, 26, 15, 25
 15, 14, 21, 18, 18, 23, 5, 22, 0, 11, 11, 7, 22, 16, 20, 24, 16, 8
 12, 26, 16, 27, 8, 24, 21, 27, 11, 0, 5, 24, 22, 20, 25, 13, 25, 26
 8, 17, 8, 7, 27, 24, 24, 29, 11, 5, 0, 28, 7, 20, 6, 18, 13, 12
 15, 15, 8, 22, 19, 8, 2, 0, 7, 24, 28, 0, 21, 19, 3, 4, 10, 15
 25, 18, 23, 10, 16, 12, 22, 25, 22, 22, 7, 21, 0, 5, 26, 10, 14, 1
 15, 22, 21, 11, 20, 21, 8, 27, 16, 20, 20, 19, 5, 0, 23, 20, 8, 23
 16, 2, 28, 15, 9, 24, 23, 19, 20, 25, 6, 3, 26, 23, 0, 9, 25, 29
 20, 18, 4, 0, 14, 16, 4, 26, 24, 13, 18, 4, 10, 20, 9, 0, 15, 7
 13, 27, 25, 7, 2, 9, 17, 15, 16, 25, 13, 10, 14, 8, 25, 15, 0, 3
 15, 14, 22, 11, 9, 12, 24, 25, 8, 26, 12, 15, 1, 23, 29, 7, 3, 0
